# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

# 10-15
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 3000000    12952   0.0001460125    0.069173124  0.00011764892   1.548393e-05  1.2879651e-05       71.61268              0              0              0              0    -0.74551478 
 3001000    12952   0.0002470097    0.069128082   7.603438e-05  0.00015811244  1.2862884e-05      63.066411              0              0              0              0      1.6327675 
 3002000    12952  0.00014232579    0.069100597  0.00011005865   1.941449e-05  1.2852657e-05      52.961965              0              0              0              0     0.61698754 
 3003000    12952   0.0002871937    0.069078543  0.00013618175  0.00013816749  1.2844454e-05         43.524              0              0              0              0     -1.3801804 
 3004000    12952  9.7380139e-05    0.069030707  7.6398265e-05  8.1552024e-06  1.2826672e-05       36.73714              0              0              0              0      1.9048813 
 3005000    12952  0.00017781413    0.069020247  8.0301897e-05  8.4689453e-05  1.2822785e-05      32.241259              0              0              0              0     -2.7304792 
 3006000    12952  0.00010346274    0.068958169  9.0660979e-05  2.0363961e-09  1.2799729e-05      27.734189              0              0              0              0      3.4535161 
 3007000    12952  0.00013181403     0.06895657  7.7758901e-05  4.1255994e-05  1.2799135e-05      22.667947              0              0              0              0     -3.6505447 
 3008000    12952   9.964178e-05    0.068891715  8.0067279e-05  6.7994299e-06  1.2775071e-05      19.710267              0              0              0              0       3.480438 
 3009000    12952  0.00010273896    0.068887936  7.3608803e-05  1.6356486e-05   1.277367e-05      15.947305              0              0              0              0     -3.2888353 
 3010000    12952  0.00011109082    0.068828745  7.9177845e-05  1.9161246e-05  1.2751728e-05      13.298708              0              0              0              0      3.0522622 
