# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

run		${runstep}
run		1200000
Setting up run at Mon Aug 12 21:51:11 2024

Memory usage per processor = 10.9159 Mbytes
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  3.2798442e-05    0.068491004  6.7678251e-06  2.6030617e-05  2.4542775e-36       72.74759              0              0              0              0      0.6106704 
 1001000    12952   2.613355e-05    0.068493847  5.6865566e-06  2.0445378e-05  1.6152174e-09       72.31587              0              0              0              0    -0.40283133 
 1002000    12952  2.7399192e-05    0.068491428  5.9163072e-06  2.1476424e-05  6.4601731e-09      72.090107              0              0              0              0    0.068208476 
 1003000    12952  2.3806254e-05     0.06849038  5.4378466e-06  1.8353873e-05  1.4533956e-08      71.643997              0              0              0              0   0.0010191073 
 1004000    12952    2.60939e-05    0.068490566   5.594689e-06  2.0473375e-05  2.5835961e-08      70.997156              0              0              0              0    -0.31946537 
 1005000    12952  2.0794061e-05     0.06848577  4.9227502e-06  1.5830952e-05   4.035817e-08      70.490603              0              0              0              0     0.40899553 
 1006000    12952  2.4045067e-05     0.06848832  5.2301035e-06  1.8756852e-05  5.8111799e-08      69.442501              0              0              0              0     -0.6698532 
 1007000    12952  1.7309552e-05    0.068479963  4.2748222e-06  1.2955666e-05  7.9063628e-08      68.874513              0              0              0              0     0.78381861 
 1008000    12952  2.1294057e-05    0.068484608  4.8204502e-06  1.6370347e-05   1.032606e-07      67.472822              0              0              0              0    -0.99992747 
 1009000    12952  1.3363756e-05    0.068472836  3.5454393e-06  9.6877018e-06  1.3061481e-07      66.864537              0              0              0              0      1.1099016 
 1010000    12952  1.8061667e-05    0.068479306  4.3347854e-06  1.3565638e-05  1.6124327e-07       65.15048              0              0              0              0     -1.3091964 
 1011000    12952  9.6331387e-06    0.068464299  2.9583907e-06  6.4797834e-06  1.9496464e-07      64.512703              0              0              0              0      1.4159824 
 1012000    12952  1.4553332e-05    0.068472357  3.8643259e-06  1.0456997e-05  2.3200874e-07      62.542888              0              0              0              0     -1.5688983 
 1013000    12952  6.3881139e-06    0.068454348  2.7160308e-06  3.4000282e-06  2.7205493e-07      61.857429              0              0              0              0      1.6998559 
 1014000    12952  1.1022092e-05     0.06846348  3.5244324e-06  7.1821676e-06   3.154917e-07       59.62824              0              0              0              0     -1.7455545 
 1015000    12952  4.1723446e-06    0.068443484  2.5418227e-06  1.2687004e-06  3.6182154e-07      58.814236              0              0              0              0      1.8464309 
 1016000    12952  8.3165104e-06    0.068452944  3.4318801e-06  4.4730117e-06  4.1161859e-07      56.449927              0              0              0              0     -1.8823328 
 1017000    12952  3.4603848e-06    0.068431443  2.8435429e-06  1.5265699e-07  4.6418488e-07      55.524968              0              0              0              0      1.8772261 
 1018000    12952  6.3513212e-06    0.068440476  3.4714007e-06  2.3596217e-06  5.2029879e-07      53.071046              0              0              0              0     -1.9123578 
 1019000    12952  4.1376377e-06    0.068418177  3.3658224e-06  1.9275976e-07   5.790555e-07      52.025654              0              0              0              0      1.8484406 
 1020000    12952  5.4085559e-06    0.068425919  3.8167683e-06  9.5035917e-07  6.4142844e-07      49.571695              0              0              0              0     -1.8374045 
 1021000    12952  6.2831154e-06    0.068403716  4.2403643e-06  1.3364167e-06  7.0633442e-07      48.352556              0              0              0              0      1.7279417 
 1022000    12952   5.467804e-06    0.068409399  4.4725614e-06  2.2034703e-07  7.7489555e-07      45.944039              0              0              0              0     -1.6600493 
 1023000    12952  9.3465468e-06    0.068388178   5.364506e-06   3.136126e-06   8.459148e-07      44.571005              0              0              0              0      1.4770418 
 1024000    12952  7.1628823e-06     0.06839101  6.2105922e-06  3.1712846e-08   9.205772e-07      42.257965              0              0              0              0     -1.4490207 
 1025000    12952   1.300278e-05    0.068370893  6.8659456e-06   5.139176e-06  9.9765867e-07      40.784815              0              0              0              0      1.2429179 
 1026000    12952  8.1252618e-06    0.068370905  6.9634058e-06   8.351389e-08  1.0783421e-06      38.487857              0              0              0              0     -1.1117204 
 1027000    12952  1.6670807e-05     0.06835331  8.6016734e-06   6.907656e-06  1.1614772e-06      36.868298              0              0              0              0     0.84981927 
 1028000    12952   9.161661e-06    0.068348705  7.8210112e-06  9.2618696e-08  1.2480312e-06      34.813626              0              0              0              0    -0.59100368 
 1029000    12952  1.8190251e-05    0.068334185  9.2217495e-06  7.6313071e-06  1.3371948e-06      32.971011              0              0              0              0     0.44987062 
 1030000    12952  9.8312151e-06    0.068325689  8.3558232e-06  4.5856522e-08  1.4295354e-06      31.083852              0              0              0              0    -0.29253431 
 1031000    12952  2.0542857e-05    0.068312674  1.0779511e-05  8.2387283e-06  1.5246185e-06      29.358103              0              0              0              0    0.086075571 
 1032000    12952  1.0984512e-05    0.068300232  9.3371953e-06  2.4691463e-08  1.6226253e-06      27.625492              0              0              0              0     0.11670306 
 1033000    12952  2.1026344e-05    0.068289676  1.1745513e-05  7.5572182e-06  1.7236127e-06      25.847858              0              0              0              0    -0.26118886 
 1034000    12952  1.2634534e-05    0.068274188  1.0671476e-05  1.3584842e-07  1.8272094e-06      24.191847              0              0              0              0     0.32727928 
 1035000    12952  2.1658504e-05     0.06826418  1.2824379e-05  6.9001811e-06   1.933944e-06       22.61382              0              0              0              0    -0.41147678 
 1036000    12952  1.4772786e-05    0.068246978  1.2387933e-05  3.4176734e-07  2.0430856e-06      20.873609              0              0              0              0     0.49437433 
 1037000    12952  2.2116711e-05    0.068237554  1.3550707e-05  6.4105103e-06  2.1554929e-06      19.397594              0              0              0              0    -0.54970804 
 1038000    12952  1.9385143e-05    0.068218042  1.5993575e-05  1.1215387e-06  2.2700298e-06      17.942388              0              0              0              0     0.55074982 
 1039000    12952  2.1054617e-05     0.06820783  1.3979256e-05  4.6874294e-06  2.3879316e-06      16.488933              0              0              0              0    -0.46646992 
 1040000    12952  2.0210857e-05    0.068189507  1.6002065e-05  1.7008019e-06  2.5079902e-06      14.806282              0              0              0              0     0.46959151 
 1041000    12952  2.6171338e-05    0.068177748  1.7972701e-05  5.5674068e-06  2.6312308e-06      13.514712              0              0              0              0    -0.59089766 
 1042000    12952  2.2460206e-05    0.068155467  1.6236073e-05  3.4678145e-06  2.7563181e-06      12.377335              0              0              0              0     0.70129699 
 1043000    12952  2.9347348e-05    0.068144499  2.3486259e-05   2.976129e-06  2.8849597e-06      10.980256              0              0              0              0    -0.52043747 
 1044000    12952  2.4596329e-05    0.068125396  1.7561045e-05  4.0197449e-06  3.0155393e-06      9.3326717              0              0              0              0     0.41756463 
 1045000    12952  2.6622392e-05    0.068113432  2.1003119e-05  2.4699251e-06  3.1493487e-06       8.031555              0              0              0              0    -0.45402783 
 1046000    12952  3.1438733e-05    0.068094209  2.3017952e-05  5.1357201e-06  3.2850605e-06      6.5790359              0              0              0              0      0.2824173 
 1047000    12952  2.7629251e-05      0.0680804  2.2095752e-05  2.1096661e-06  3.4238334e-06       5.316942              0              0              0              0    -0.24657518 
 1048000    12952  2.9777739e-05    0.068063244  2.0950034e-05   5.262911e-06  3.5647935e-06      3.7395578              0              0              0              0     0.13298294 
 1049000    12952  3.0358602e-05    0.068048408  2.4642566e-05  2.0075495e-06  3.7084873e-06      2.4849804              0              0              0              0      -0.132009 
 1050000    12952  3.1605358e-05    0.068032023  2.2637125e-05  5.1137509e-06  3.8544826e-06     0.99977451              0              0              0              0    0.019500629 
 1051000    12952  3.4255453e-05     0.06801562  2.7632018e-05  2.6205252e-06  4.0029096e-06    -0.22174133              0              0              0              0   -0.040528663 
 1052000    12952  3.7321229e-05    0.067998962   2.769229e-05  5.4752244e-06  4.1537144e-06      -1.367618              0              0              0              0    -0.10940857 
 1053000    12952  3.0954646e-05    0.067981832  2.4607689e-05  2.0401221e-06  4.3068352e-06     -2.7450368              0              0              0              0     0.24774742 
 1054000    12952  3.7063057e-05     0.06796815  2.7904866e-05  4.6954353e-06  4.4627558e-06     -4.1350935              0              0              0              0    -0.23506645 
 1055000    12952  3.7196482e-05    0.067950364  2.9940509e-05  2.6355073e-06  4.6204655e-06     -5.3527748              0              0              0              0     0.23963403 
 1056000    12952   3.664914e-05    0.067936878  2.8047033e-05  3.8210438e-06  4.7810629e-06     -6.6363542              0              0              0              0    -0.25274362 
 1057000    12952  3.7556585e-05    0.067919455   2.953742e-05  3.0757854e-06  4.9433801e-06     -7.7585169              0              0              0              0     0.15981453 
 1058000    12952  4.1980586e-05    0.067904158  3.2545752e-05  4.3265892e-06  5.1082442e-06     -8.7125514              0              0              0              0    -0.15000043 
 1059000    12952  4.1548382e-05    0.067885373   3.257431e-05  3.6992889e-06  5.2747828e-06     -9.7506937              0              0              0              0     0.15908068 
 1060000    12952  3.8873247e-05     0.06787071  3.0039585e-05  3.3895272e-06  5.4441351e-06     -10.931006              0              0              0              0    -0.21675322 
 1061000    12952  4.3283426e-05    0.067853038  3.3640924e-05  4.0273481e-06  5.6151532e-06     -12.086139              0              0              0              0     0.16647763 
 1062000    12952  4.9619961e-05     0.06783713  4.0021027e-05  3.8103599e-06  5.7885742e-06     -12.820772              0              0              0              0    -0.17151964 
 1063000    12952  4.9187342e-05    0.067817968  3.8405081e-05  4.8187483e-06  5.9635124e-06       -13.7106              0              0              0              0        0.33453 
 1064000    12952  4.0639129e-05    0.067804243  3.2602529e-05  1.8951428e-06  6.1414574e-06     -15.015533              0              0              0              0   -0.089145655 
 1065000    12952  5.3252335e-05     0.06778776  4.1836343e-05  5.0950511e-06  6.3209402e-06     -16.156029              0              0              0              0     0.14937448 
 1066000    12952  5.0059034e-05    0.067772519  4.0532266e-05  3.0241207e-06  6.5026472e-06     -16.920121              0              0              0              0    -0.27025081 
 1067000    12952  5.2555617e-05    0.067754596   4.208433e-05  3.7854916e-06  6.6857958e-06     -17.984837              0              0              0              0     0.25308635 
 1068000    12952  4.6254941e-05     0.06774282  3.7291125e-05  2.0917177e-06  6.8720981e-06     -18.947226              0              0              0              0    -0.38171495 
 1069000    12952  5.6800351e-05    0.067724211  4.4318124e-05  5.4233055e-06  7.0589215e-06     -20.031657              0              0              0              0     0.34261217 
 1070000    12952  5.4145499e-05    0.067709963  4.4712946e-05   2.184043e-06  7.2485097e-06     -20.720448              0              0              0              0    -0.21016574 
 1071000    12952   5.824185e-05    0.067692366  4.6257932e-05  4.5447035e-06  7.4392145e-06     -21.778137              0              0              0              0     0.33828061 
 1072000    12952  5.9494673e-05    0.067679059  4.9676097e-05  2.1859135e-06  7.6326626e-06     -22.528915              0              0              0              0    -0.18400791 
