# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

run		${runstep}
run		1200000
Setting up run at Mon Aug 12 16:40:57 2024

Memory usage per processor = 10.9145 Mbytes
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  1.6663577e-05    0.067574128  3.8156923e-06  1.2847885e-05   3.612997e-37      70.405847              0              0              0              0     -1.5161697 
 1001000    12952  2.0251511e-05     0.06756275  4.4827369e-06  1.5768536e-05  2.3768102e-10       70.87317              0              0              0              0      1.4348311 
 1002000    12952  1.8333217e-05     0.06757307  4.0408475e-06  1.4291418e-05  9.5097514e-10      70.051385              0              0              0              0     -1.5110683 
 1003000    12952  1.9021393e-05    0.067561919  4.0358782e-06  1.4983376e-05  2.1388513e-09       70.41441              0              0              0              0       1.364797 
 1004000    12952  1.6875523e-05    0.067571742  3.8263894e-06  1.3045331e-05  3.8031505e-09      69.531497              0              0              0              0     -1.4482236 
 1005000    12952  1.7949892e-05    0.067560654  3.8061178e-06  1.4137834e-05  5.9397803e-09      69.783089              0              0              0              0      1.3629559 
 1006000    12952  1.6585715e-05    0.067569943  4.7828464e-06  1.1794314e-05  8.5543816e-09      68.833447              0              0              0              0     -1.4208327 
 1007000    12952  1.7066011e-05    0.067558552    3.71197e-06  1.3342403e-05  1.1637568e-08      68.965883              0              0              0              0      1.3993521 
 1008000    12952  1.4046832e-05    0.067567453  3.2330231e-06  1.0798608e-05  1.5201066e-08      67.978705              0              0              0              0     -1.3522762 
 1009000    12952  1.5767312e-05    0.067556376  3.4695374e-06  1.2278546e-05  1.9228272e-08      68.027385              0              0              0              0       1.325504 
 1010000    12952  1.2548729e-05    0.067564629  2.8915337e-06  9.6334571e-06  2.3738431e-08       66.96053              0              0              0              0     -1.3066215 
 1011000    12952  1.4624476e-05    0.067553723  3.2169792e-06   1.137879e-05  2.8706341e-08      66.914662              0              0              0              0      1.2665609 
 1012000    12952  1.1157128e-05    0.067561238  2.6418361e-06  8.4811322e-06  3.4160119e-08      65.799713              0              0              0              0     -1.2510655 
 1013000    12952  1.3498388e-05    0.067550604  3.0138564e-06  1.0444466e-05  4.0064951e-08      65.637417              0              0              0              0      1.1908876 
 1014000    12952  9.7917185e-06    0.067557215  2.3956404e-06  7.3496197e-06  4.6458368e-08      64.479805              0              0              0              0      -1.161089 
 1015000    12952  1.2438396e-05    0.067546956  2.8647433e-06  9.5203567e-06  5.3295838e-08      64.222492              0              0              0              0       1.104169 
 1016000    12952  8.6230124e-06    0.067552622  2.1721228e-06  6.3902654e-06  6.0624156e-08      63.055061              0              0              0              0     -1.0541959 
 1017000    12952  1.1536648e-05    0.067542861  2.6981058e-06  8.7701522e-06   6.838958e-08      62.679435              0              0              0              0     0.98628366 
 1018000    12952  7.5688464e-06    0.067547454  2.0197513e-06   5.472448e-06   7.664704e-08      61.488022              0              0              0              0    -0.95004276 
 1019000    12952  1.0767824e-05    0.067538281   2.561228e-06  8.1212606e-06  8.5335264e-08      60.999162              0              0              0              0     0.87314873 
 1020000    12952  6.7193993e-06    0.067541664  1.9616444e-06  4.6632398e-06  9.4515095e-08      59.806108              0              0              0              0    -0.81799455 
 1021000    12952  1.0116927e-05    0.067533214  2.4904483e-06  7.5223579e-06  1.0412069e-07      59.197444              0              0              0              0     0.72333601 
 1022000    12952  5.8457651e-06    0.067535212  1.8597924e-06  3.8717577e-06  1.1421495e-07      58.024583              0              0              0              0    -0.68535349 
 1023000    12952  1.0619308e-05     0.06752724  2.9201499e-06  7.5744274e-06  1.2473081e-07      57.360438              0              0              0              0     0.52559711 
 1024000    12952  5.7371968e-06    0.067527269  1.9088842e-06   3.692584e-06  1.3572861e-07      56.233815              0              0              0              0    -0.45944305 
 1025000    12952  9.6420253e-06    0.067520969  2.5188434e-06  6.9760293e-06  1.4715259e-07      55.414198              0              0              0              0     0.36352919 
 1026000    12952   5.164687e-06    0.067519748  1.9183527e-06  3.0872869e-06  1.5904735e-07        54.2659              0              0              0              0     -0.3217435 
 1027000    12952  9.1632912e-06    0.067514172  2.5114956e-06  6.4804265e-06  1.7136911e-07      53.338096              0              0              0              0     0.22792431 
 1028000    12952  4.5640858e-06    0.067511597  1.8308896e-06  2.5490458e-06  1.8415034e-07      52.235705              0              0              0              0    -0.19008311 
 1029000    12952  9.1362929e-06    0.067506359   2.594008e-06  6.3449249e-06  1.9735997e-07      51.264232              0              0              0              0     0.11505463 
 1030000    12952   4.313505e-06    0.067502515  1.8821907e-06  2.2202971e-06  2.1101713e-07      50.172558              0              0              0              0   -0.044129704 
 1031000    12952  8.8309861e-06    0.067498385  2.7211797e-06  5.8846956e-06  2.2511084e-07       49.12226              0              0              0              0   -0.029379271 
 1032000    12952  4.0821848e-06    0.067493235  2.1112727e-06  1.7312799e-06  2.3963227e-07      48.019705              0              0              0              0     0.10411156 
 1033000    12952  8.2806405e-06    0.067489854  2.6400257e-06  5.3860152e-06  2.5459952e-07      46.895907              0              0              0              0     -0.1636823 
 1034000    12952  3.5293282e-06    0.067483275  1.9515625e-06  1.3077939e-06  2.6997183e-07      45.889485              0              0              0              0     0.23956575 
 1035000    12952  8.0067931e-06    0.067480711   2.928862e-06  4.7921269e-06  2.8580411e-07      44.724131              0              0              0              0    -0.31482692 
 1036000    12952  3.2343823e-06    0.067472563  2.0556581e-06   8.767116e-07  3.0201258e-07      43.782196              0              0              0              0     0.40442658 
 1037000    12952  7.0190339e-06    0.067471018   2.674683e-06  4.0256485e-06  3.1870234e-07      42.545888              0              0              0              0    -0.44881201 
 1038000    12952  3.1172034e-06    0.067461868  2.3159399e-06  4.6552541e-07  3.3573813e-07      41.599898              0              0              0              0     0.46051057 
 1039000    12952  6.7210619e-06    0.067460355  2.8216476e-06  3.5461483e-06  3.5326589e-07       40.41218              0              0              0              0    -0.49925627 
 1040000    12952  2.8974438e-06    0.067450352  2.2829712e-06  2.4335627e-07  3.7111632e-07      39.456191              0              0              0              0     0.54378203 
 1041000    12952  6.0436033e-06    0.067449239  2.7230545e-06  2.9310746e-06  3.8947425e-07       38.21792              0              0              0              0    -0.57427074 
 1042000    12952   2.974959e-06    0.067438581  2.4813364e-06  8.5495274e-08  4.0812728e-07      37.287612              0              0              0              0     0.60434053 
 1043000    12952  5.8904409e-06    0.067437452  3.0061076e-06  2.4570347e-06  4.2729864e-07      36.065721              0              0              0              0    -0.59590626 
 1044000    12952  3.1896044e-06    0.067426335  2.7171615e-06  2.5700757e-08  4.4674209e-07      35.180643              0              0              0              0     0.62847644 
 1045000    12952  6.5278825e-06    0.067424773  3.8402194e-06  2.2209551e-06  4.6670803e-07      34.015091              0              0              0              0    -0.59551601 
 1046000    12952  3.5149167e-06    0.067413394  2.9941047e-06  3.3882298e-08  4.8692966e-07      33.073707              0              0              0              0     0.61334156 
 1047000    12952  6.0500622e-06    0.067411844  3.6506699e-06  1.8917101e-06  5.0768215e-07      31.921075              0              0              0              0    -0.65495729 
 1048000    12952  3.7316566e-06     0.06739999  3.1207027e-06  8.2290005e-08  5.2866383e-07      31.015762              0              0              0              0      0.6507183 
 1049000    12952  5.9197028e-06    0.067398274  3.7424191e-06  1.6270977e-06   5.501859e-07      29.951941              0              0              0              0    -0.67511241 
 1050000    12952  5.2438182e-06    0.067385366  4.3357915e-06  3.3612498e-07  5.7190169e-07      29.139949              0              0              0              0     0.68909758 
 1051000    12952   5.191655e-06    0.067383892  3.6129416e-06  9.8452845e-07  5.9418494e-07      27.873975              0              0              0              0    -0.70167798 
