# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

run		${runstep}
run		1200000
Setting up run at Wed Aug  7 21:02:32 2024

Memory usage per processor = 10.9162 Mbytes
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  1.8451448e-06    0.067006364  4.2371814e-07  1.4214266e-06  1.8125208e-37      73.781845              0              0              0              0     0.65093638 
 1001000    12952  3.3298203e-06      0.0670109  8.2925349e-07  2.5004475e-06  1.1929286e-10      73.330133              0              0              0              0    -0.70370338 
 1002000    12952   2.889886e-06    0.067005939  5.9972271e-07  2.2896862e-06  4.7708157e-10      73.436043              0              0              0              0     0.49554962 
 1003000    12952  3.3158164e-06    0.067009609  7.0645724e-07  2.6082857e-06  1.0734813e-09      72.975977              0              0              0              0    -0.59044369 
 1004000    12952  2.8280095e-06     0.06700526  6.4594658e-07  2.1801549e-06  1.9079863e-09      72.964592              0              0              0              0     0.44375485 
 1005000    12952  3.3734398e-06     0.06700806  6.9340641e-07  2.6770523e-06   2.981127e-09      72.481173              0              0              0              0    -0.44418156 
 1006000    12952  2.7252616e-06    0.067004236  6.2155058e-07  2.0994194e-06  4.2917082e-09      72.360612              0              0              0              0     0.38931641 
 1007000    12952  3.3788648e-06    0.067006213  7.2336303e-07  2.6496609e-06  5.8408416e-09      71.860201              0              0              0              0    -0.33461674 
 1008000    12952  2.5676358e-06    0.067002855  5.8337689e-07  1.9766323e-06   7.626578e-09      71.640915              0              0              0              0     0.30640317 
 1009000    12952  3.3184291e-06    0.067004064  7.3091555e-07  2.5778629e-06   9.650584e-09      71.119907              0              0              0              0     -0.2555253 
 1010000    12952  2.3739884e-06    0.067001089  5.4762993e-07  1.8144483e-06  1.1910255e-08      70.804116              0              0              0              0     0.22618552 
 1011000    12952  3.2267212e-06    0.067001614   7.236087e-07  2.4887048e-06  1.4407662e-08      70.256965              0              0              0              0    -0.19881088 
 1012000    12952  2.1704715e-06    0.066998939  5.2529166e-07  1.6280401e-06  1.7139737e-08      69.850841              0              0              0              0     0.15984068 
 1013000    12952  3.1099023e-06    0.066998863  7.0470426e-07  2.3850893e-06  2.0108735e-08      69.267936              0              0              0              0    -0.13939552 
 1014000    12952  1.9634633e-06    0.066996405   5.066536e-07  1.4334983e-06  2.3311358e-08      68.777357              0              0              0              0     0.11301463 
 1015000    12952   2.991396e-06    0.066995798  7.0194538e-07  2.2627008e-06  2.6749805e-08      68.158581              0              0              0              0   -0.092145216 
 1016000    12952  1.7666164e-06    0.066993453  5.0006825e-07  1.2361274e-06  3.0420762e-08      67.594961              0              0              0              0    0.079468212 
 1017000    12952   2.869866e-06    0.066992416  7.0385142e-07  2.1316884e-06  3.4326227e-08      66.934471              0              0              0              0   -0.058454301 
 1018000    12952   1.591906e-06    0.066990086  4.9996086e-07  1.0534822e-06  3.8462948e-08      66.302516              0              0              0              0    0.056098911 
 1019000    12952  2.7750982e-06    0.066988706   7.162871e-07  2.0159784e-06  4.2832703e-08      65.596592              0              0              0              0    -0.04905807 
 1020000    12952  1.4453518e-06    0.066986299  5.1199924e-07  8.8592033e-07  4.7432247e-08      64.909768              0              0              0              0    0.042670307 
 1021000    12952  2.6775852e-06    0.066984674  7.2760672e-07  1.8977152e-06  5.2263308e-08      64.158844              0              0              0              0   -0.039868331 
 1022000    12952  1.3905376e-06    0.066982099  6.3347686e-07  6.9973839e-07   5.732235e-08      63.417102              0              0              0              0    0.019422998 
 1023000    12952  3.2359634e-06    0.066979261  1.0674653e-06  2.1058886e-06  6.2609498e-08      62.653582              0              0              0              0    0.073586064 
 1024000    12952  1.5395327e-06    0.066977268  6.7261641e-07  7.9879048e-07   6.812585e-08      61.807939              0              0              0              0   -0.062606097 
 1025000    12952  2.8817807e-06    0.066974613    8.83448e-07   1.924465e-06  7.3867739e-08      61.004264              0              0              0              0    0.053535915 
 1026000    12952  1.3499928e-06    0.066972454  6.3094526e-07  6.3921105e-07  7.9836459e-08      60.151364              0              0              0              0   -0.059894732 
 1027000    12952  2.7974812e-06    0.066969606  8.9039174e-07   1.821061e-06  8.6028419e-08      59.311754              0              0              0              0    0.046786739 
 1028000    12952  1.2708622e-06    0.066967192  6.7560171e-07  5.0281538e-07  9.2445117e-08       58.42962              0              0              0              0   -0.051062416 
 1029000    12952  2.7535915e-06    0.066964241  9.2748208e-07  1.7270263e-06  9.9083058e-08      57.557128              0              0              0              0    0.026593331 
