Library Description,C1,C2,C3,p,ds,rho,nH,T,H,E
p500000_ds0.007_rho2350_nH25_T10_Ep5e7_mu0.50,-2.649834156,-5.953140736,3.669523001,500000,0.007,2350,25,10,0.175,50000000
p500000_ds0.006_rho2650_nH25_T10_Ep5e7_mu0.50,-2.645576239,-5.620357037,4.469301224,500000,0.006,2650,25,10,0.15,50000000
p400000_ds0.006_rho2400_nH20_T18_Ep5e7_mu0.50,-2.727622032,-5.793041706,4.478809357,400000,0.006,2400,20,18,0.12,50000000
p360000_ds0.006_rho2350_nH18_T12_Ep5e7_mu0.50,-2.856984854,-6.390520573,3.79978013,360000,0.006,2350,18,12,0.108,50000000
p500000_ds0.005_rho2550_nH25_T10_Ep5e7_mu0.50,-2.69588232,-5.616037846,4.940690041,500000,0.005,2550,25,10,0.125,50000000
p400000_ds0.004_rho2500_nH20_T12_Ep5e7_mu0.50,-2.69977951,-5.441083431,5.329441071,400000,0.004,2500,20,12,0.08,50000000
p400000_ds0.006_rho2400_nH20_T20_Ep5e7_mu0.50,-2.750843525,-5.645789623,5.14786005,400000,0.006,2400,20,20,0.12,50000000
p400000_ds0.005_rho2650_nH20_T14_Ep5e7_mu0.50,-2.799393654,-5.722729683,5.358631134,400000,0.005,2650,20,14,0.1,50000000
p240000_ds0.006_rho2450_nH12_T20_Ep5e7_mu0.50,-3.064535618,-6.953534603,3.67478323,240000,0.006,2450,12,20,0.072,50000000
p400000_ds0.005_rho2350_nH20_T16_Ep5e7_mu0.50,-2.766722202,-5.242468357,6.392315865,400000,0.005,2350,20,16,0.1,50000000
p200000_ds0.005_rho2450_nH10_T16_Ep5e7_mu0.50,-3.046891689,-6.683634758,4.408936501,200000,0.005,2450,10,16,0.05,50000000
p300000_ds0.005_rho2650_nH15_T18_Ep5e7_mu0.50,-2.863615036,-5.573811531,6.128491879,300000,0.005,2650,15,18,0.075,50000000
p200000_ds0.004_rho2450_nH10_T10_Ep5e7_mu0.50,-3.071016312,-6.560549259,4.901669502,200000,0.004,2450,10,10,0.04,50000000
p300000_ds0.004_rho2550_nH15_T12_Ep5e7_mu0.50,-2.885258913,-5.397560596,6.710512638,300000,0.004,2550,15,12,0.06,50000000
p200000_ds0.005_rho2450_nH10_T14_Ep5e7_mu0.50,-3.143929958,-6.644774914,5.350306034,200000,0.005,2450,10,14,0.05,50000000
p200000_ds0.005_rho2450_nH10_T18_Ep5e7_mu0.50,-3.131614685,-6.140581131,6.516442299,200000,0.005,2450,10,18,0.05,50000000
p200000_ds0.004_rho2600_nH10_T16_Ep5e7_mu0.50,-3.157755136,-4.54531908,11.09913635,200000,0.004,2600,10,16,0.04,50000000
p380000_ds0.007_rho2350_nH20_T16_Ep5e7_mu0.50,-2.804708958,-6.516623974,3.193132877,380000,0.007,2350,20,16,0.14,50000000
p340000_ds0.004_rho2500_nH18_T20_Ep5e7_mu0.50,-2.586065292,-6.084911346,2.472536802,340000,0.004,2500,18,20,0.072,50000000
p340000_ds0.004_rho2500_nH18_T10_Ep5e7_mu0.50,-2.874451399,-6.206148624,4.42495966,340000,0.004,2500,18,10,0.072,50000000
p280000_ds0.005_rho2650_nH15_T14_Ep5e7_mu0.50,-2.903487206,-6.324721336,4.145532608,280000,0.005,2650,15,14,0.075,50000000
p220000_ds0.005_rho2650_nH12_T10_Ep5e7_mu0.50,-3.028318882,-7.681516171,1.324723125,220000,0.005,2650,12,10,0.06,50000000
