Library Description,C1,C2,C3,p,ds,rho,nH,T,H,E
p100000_ds0.003_rho2600_nH20_T14_Ep5e7_mu0.50,-3.805962324,-11.33171463,-2.629607677,100000,0.003,2600,20,14,0.06,50000000
p100000_ds0.003_rho2350_nH20_T20_Ep5e7_mu0.50,-3.773470402,-10.90196896,-1.749408603,100000,0.003,2350,20,20,0.06,50000000
p100000_ds0.004_rho2450_nH20_T14_Ep5e7_mu0.50,-3.813069582,-10.69660187,-0.825422049,100000,0.004,2450,20,14,0.08,50000000
p85000_ds0.009_rho2900_nH18_T10_Ep5e7_mu0.50,-4.124592781,-13.71204758,-6.912454128,85000,0.009,2900,18,10,0.162,50000000
p80000_ds0.003_rho2400_nH18_T12_Ep5e7_mu0.50,-3.934831858,-12.75165081,-5.453266144,80000,0.003,2400,18,12,0.054,50000000
p50000_ds0.008_rho2300_nH12_T18_Ep5e7_mu0.50,-3.977854967,-16.08034325,-14.37513065,50000,0.008,2300,12,18,0.096,50000000
p50000_ds0.006_rho2450_nH12_T14_Ep5e7_mu0.50,-4.187681198,-16.60416031,-14.23775673,50000,0.006,2450,12,14,0.072,50000000
p100000_ds0.007_rho2700_nH12_T18_Ep1e8_mu0.50,-3.822002888,-14.51863289,-11.12674904,100000,0.007,2700,12,18,0.084,100000000
p50000_ds0.005_rho2650_nH12_T10_Ep5e7_mu0.50,-4.202563763,-16.0608387,-12.75568008,50000,0.005,2650,12,10,0.06,50000000
p50000_ds0.004_rho2600_nH12_T16_Ep5e7_mu0.50,-4.298497677,-16.4965744,-13.07058811,50000,0.004,2600,12,16,0.048,50000000
p50000_ds0.004_rho2450_nH12_T10_Ep5e7_mu0.50,-4.320815563,-16.00116158,-11.54534054,50000,0.004,2450,12,10,0.048,50000000
p50000_ds0.003_rho2650_nH12_T20_Ep5e7_mu0.50,-4.176093578,-14.93556213,-9.678607941,50000,0.003,2650,12,20,0.036,50000000
p40000_ds0.003_rho2600_nH10_T10_Ep5e7_mu0.50,-4.258194447,-16.22083092,-12.52217674,40000,0.003,2600,10,10,0.03,50000000
p60000_ds0.004_rho2400_nH15_T18_Ep5e7_mu0.50,-3.684178352,-13.01512432,-8.089113235,60000,0.004,2400,15,18,0.06,50000000
p40000_ds0.003_rho2650_nH10_T12_Ep5e7_mu0.50,-4.321928978,-16.15870476,-11.87195396,40000,0.003,2650,10,12,0.03,50000000
p100000_ds0.006_rho2600_nH25_T20_Ep5e7_mu0.50,-3.918426037,-13.01313114,-6.508327007,100000,0.006,2600,25,20,0.15,50000000
p100000_ds0.005_rho2350_nH25_T20_Ep5e7_mu0.50,-3.851591349,-12.71276283,-6.093340874,100000,0.005,2350,25,20,0.125,50000000
p100000_ds0.004_rho2550_nH25_T14_Ep5e7_mu0.50,-3.896862507,-12.71961212,-5.855017662,100000,0.004,2550,25,14,0.1,50000000
p100000_ds0.005_rho2350_nH25_T16_Ep5e7_mu0.50,-3.99129343,-12.81074142,-5.388637066,100000,0.005,2350,25,16,0.125,50000000
p100000_ds0.003_rho2600_nH25_T16_Ep5e7_mu0.50,-3.843069077,-12.03630924,-4.224311829,100000,0.003,2600,25,16,0.075,50000000
p100000_ds0.003_rho2350_nH25_T20_Ep5e7_mu0.50,-3.746402979,-11.48160362,-3.34766078,100000,0.003,2350,25,20,0.075,50000000
p100000_ds0.006_rho2650_nH25_T14_Ep5e7_mu0.50,-4.006288052,-12.69807625,-4.962841988,100000,0.006,2650,25,14,0.15,50000000
p100000_ds0.003_rho2650_nH25_T16_Ep5e7_mu0.50,-3.854872704,-11.97700119,-3.794603109,100000,0.003,2650,25,16,0.075,50000000
p45000_ds0.008_rho2300_nH12_T18_Ep5e7_mu0.50,-4.114542007,-16.85961151,-15.49892712,45000,0.008,2300,12,18,0.096,50000000
p70000_ds0.004_rho2400_nH20_T16_Ep5e7_mu0.50,-4.173099995,-14.52922821,-8.710526466,70000,0.004,2400,20,16,0.08,50000000
p40000_ds0.005_rho2500_nH12_T16_Ep5e7_mu0.50,-4.376546383,-18.08133316,-16.85911179,40000,0.005,2500,12,16,0.06,50000000
p40000_ds0.006_rho2600_nH12_T14_Ep5e7_mu0.50,-4.356289387,-17.90804291,-16.57584572,40000,0.006,2600,12,14,0.072,50000000
p40000_ds0.006_rho2500_nH12_T18_Ep5e7_mu0.50,-4.319578648,-17.6591835,-16.11818123,40000,0.006,2500,12,18,0.072,50000000
p40000_ds0.006_rho2650_nH12_T16_Ep5e7_mu0.50,-4.412540913,-17.96102715,-16.34749413,40000,0.006,2650,12,16,0.072,50000000
p50000_ds0.006_rho2500_nH15_T16_Ep5e7_mu0.50,-4.17165184,-16.47025108,-14.10865211,50000,0.006,2500,15,16,0.09,50000000
p40000_ds0.006_rho2650_nH12_T18_Ep5e7_mu0.50,-4.399587154,-17.70494843,-15.69783306,40000,0.006,2650,12,18,0.072,50000000
p50000_ds0.005_rho2650_nH15_T12_Ep5e7_mu0.50,-4.219147682,-16.25295639,-13.20131397,50000,0.005,2650,15,12,0.075,50000000
p50000_ds0.006_rho2500_nH15_T14_Ep5e7_mu0.50,-4.337901115,-16.75941849,-13.61842442,50000,0.006,2500,15,14,0.09,50000000
p50000_ds0.006_rho2500_nH15_T12_Ep5e7_mu0.50,-4.353493214,-16.72885704,-13.50095654,50000,0.006,2500,15,12,0.09,50000000
p50000_ds0.005_rho2500_nH15_T20_Ep5e7_mu0.50,-4.251928806,-16.21340561,-12.70619106,50000,0.005,2500,15,20,0.075,50000000
p50000_ds0.003_rho2600_nH15_T10_Ep5e7_mu0.50,-4.2336936,-15.78103828,-11.58421898,50000,0.003,2600,15,10,0.045,50000000
p40000_ds0.003_rho2650_nH12_T10_Ep5e7_mu0.50,-4.368429661,-16.32492638,-12.09786797,40000,0.003,2650,12,10,0.036,50000000
p50000_ds0.003_rho2650_nH15_T12_Ep5e7_mu0.50,-4.278343201,-15.7196722,-11.0707283,50000,0.003,2650,15,12,0.045,50000000
p100000_ds0.006_rho2600_nH30_T20_Ep5e7_mu0.50,-3.829117298,-12.89601803,-6.828082561,100000,0.006,2600,30,20,0.18,50000000
p100000_ds0.005_rho2350_nH30_T16_Ep5e7_mu0.50,-3.883699656,-12.7161274,-6.118308067,100000,0.005,2350,30,16,0.15,50000000
p100000_ds0.004_rho2900_nH30_T18_Ep5e7_mu0.50,-3.654135942,-11.2632618,-3.74462986,100000,0.004,2900,30,18,0.12,50000000
p100000_ds0.003_rho2600_nH30_T16_Ep5e7_mu0.50,-3.932264566,-12.54898453,-5.185358047,100000,0.003,2600,30,16,0.09,50000000
p65000_ds0.006_rho2600_nH10_T20_Ep1e8_mu0.50,-3.996146441,-16.65252876,-15.59833527,65000,0.006,2600,10,20,0.06,100000000
p30000_ds0.005_rho2650_nH10_T18_Ep5e7_mu0.50,-4.606817722,-20.20354843,-20.88710785,30000,0.005,2650,10,18,0.05,50000000
p30000_ds0.005_rho2650_nH10_T16_Ep5e7_mu0.50,-4.591573715,-19.42531013,-18.88638496,30000,0.005,2650,10,16,0.05,50000000
p60000_ds0.005_rho2500_nH20_T18_Ep5e7_mu0.50,-4.495177269,-16.05041122,-10.51643562,60000,0.005,2500,20,18,0.1,50000000
p85000_ds0.010_rho2300_nH30_T16_Ep5e7_mu0.50,-4.338843822,-14.50838661,-7.480072498,85000,0.01,2300,30,16,0.3,50000000
p50000_ds0.004_rho2500_nH18_T18_Ep5e7_mu0.50,-4.384871006,-16.780756,-13.25637245,50000,0.004,2500,18,18,0.072,50000000
p50000_ds0.005_rho2650_nH18_T16_Ep5e7_mu0.50,-4.498140812,-16.70864105,-12.24016285,50000,0.005,2650,18,16,0.09,50000000
p50000_ds0.006_rho2500_nH18_T12_Ep5e7_mu0.50,-4.63151598,-16.88822365,-11.91494274,50000,0.006,2500,18,12,0.108,50000000
p50000_ds0.006_rho2550_nH18_T10_Ep5e7_mu0.50,-4.687507153,-16.54620934,-10.46105194,50000,0.006,2550,18,10,0.108,50000000
p50000_ds0.006_rho2650_nH18_T10_Ep5e7_mu0.50,-4.744143486,-16.86552238,-10.88231754,50000,0.006,2650,18,10,0.108,50000000
p50000_ds0.006_rho2350_nH18_T10_Ep5e7_mu0.50,-4.782622814,-17.02962494,-10.94113159,50000,0.006,2350,18,10,0.108,50000000
p55000_ds0.007_rho2300_nH20_T10_Ep5e7_mu0.50,-4.747124195,-16.92845726,-10.97468281,55000,0.007,2300,20,10,0.14,50000000
p40000_ds0.006_rho2600_nH15_T16_Ep5e7_mu0.50,-4.488386631,-18.45434952,-17.18254089,40000,0.006,2600,15,16,0.09,50000000
p40000_ds0.005_rho2650_nH15_T20_Ep5e7_mu0.50,-4.404678822,-18.07039261,-16.63581276,40000,0.005,2650,15,20,0.075,50000000
p40000_ds0.005_rho2650_nH15_T18_Ep5e7_mu0.50,-4.443309784,-18.02053642,-16.23080254,40000,0.005,2650,15,18,0.075,50000000
p40000_ds0.006_rho2600_nH15_T14_Ep5e7_mu0.50,-4.490864754,-18.12669754,-16.16104317,40000,0.006,2600,15,14,0.09,50000000
p40000_ds0.003_rho2650_nH15_T10_Ep5e7_mu0.50,-4.53451395,-17.86078835,-15.05948162,40000,0.003,2650,15,10,0.045,50000000
p40000_ds0.003_rho2550_nH15_T16_Ep5e7_mu0.50,-4.516794682,-17.64322662,-14.52686119,40000,0.003,2550,15,16,0.045,50000000
p40000_ds0.003_rho2550_nH15_T14_Ep5e7_mu0.50,-4.37513113,-16.77313614,-13.21468735,40000,0.003,2550,15,14,0.045,50000000
p25000_ds0.006_rho2500_nH10_T10_Ep5e7_mu0.50,-4.555249691,-20.58006287,-22.56994247,25000,0.006,2500,10,10,0.06,50000000
p25000_ds0.006_rho2550_nH10_T10_Ep5e7_mu0.50,-4.734791756,-21.76337242,-24.35937881,25000,0.006,2550,10,10,0.06,50000000
p25000_ds0.007_rho2500_nH10_T18_Ep5e7_mu0.50,-4.732397079,-21.12534142,-22.5112896,25000,0.007,2500,10,18,0.07,50000000
p30000_ds0.005_rho2650_nH12_T18_Ep5e7_mu0.50,-4.62139082,-19.88459778,-19.92558289,30000,0.005,2650,12,18,0.06,50000000
p25000_ds0.005_rho2550_nH10_T16_Ep5e7_mu0.50,-4.644560337,-20.07369423,-20.21278,25000,0.005,2550,10,16,0.05,50000000
p30000_ds0.005_rho2500_nH12_T10_Ep5e7_mu0.50,-4.716928005,-20.10376167,-19.90182495,30000,0.005,2500,12,10,0.06,50000000
p25000_ds0.004_rho2650_nH10_T12_Ep5e7_mu0.50,-4.847705841,-21.01848412,-21.24406624,25000,0.004,2650,10,12,0.04,50000000
p25000_ds0.004_rho2550_nH10_T16_Ep5e7_mu0.50,-4.734785557,-20.09540558,-19.5596199,25000,0.004,2550,10,16,0.04,50000000
p30000_ds0.004_rho2500_nH12_T16_Ep5e7_mu0.50,-4.662248611,-19.59673691,-18.76365662,30000,0.004,2500,12,16,0.048,50000000
p75000_ds0.007_rho2300_nH15_T12_Ep1e8_mu0.50,-4.459402561,-18.29104996,-16.81437874,75000,0.007,2300,15,12,0.105,100000000
p30000_ds0.004_rho2350_nH12_T16_Ep5e7_mu0.50,-4.613083839,-19.06651497,-17.80007744,30000,0.004,2350,12,16,0.048,50000000
p30000_ds0.004_rho2500_nH12_T18_Ep5e7_mu0.50,-4.616555691,-18.94177628,-17.29473114,30000,0.004,2500,12,18,0.048,50000000
p30000_ds0.003_rho2400_nH12_T10_Ep5e7_mu0.50,-4.763437271,-18.98702812,-16.3059597,30000,0.003,2400,12,10,0.036,50000000
p50000_ds0.005_rho2650_nH20_T16_Ep5e7_mu0.50,-4.687774658,-17.22986221,-12.18917751,50000,0.005,2650,20,16,0.1,50000000
p50000_ds0.005_rho2650_nH20_T12_Ep5e7_mu0.50,-4.689501762,-16.93891144,-11.58503342,50000,0.005,2650,20,12,0.1,50000000
p50000_ds0.006_rho2450_nH20_T16_Ep5e7_mu0.50,-4.644675732,-16.8503418,-11.52754498,50000,0.006,2450,20,16,0.12,50000000
p50000_ds0.006_rho2500_nH20_T14_Ep5e7_mu0.50,-4.743674755,-17.15127945,-11.71263695,50000,0.006,2500,20,14,0.12,50000000
p50000_ds0.006_rho2350_nH20_T10_Ep5e7_mu0.50,-4.891321182,-17.40416336,-11.26411152,50000,0.006,2350,20,10,0.12,50000000
p50000_ds0.006_rho2550_nH20_T10_Ep5e7_mu0.50,-4.87517786,-17.17051315,-10.6173687,50000,0.006,2550,20,10,0.12,50000000
p95000_ds0.010_rho2600_nH10_T10_Ep2e8_mu0.50,-4.543864727,-20.03925133,-21.03945541,95000,0.01,2600,10,10,0.1,200000000
p40000_ds0.004_rho2650_nH18_T18_Ep5e7_mu0.50,-4.612698555,-17.89810753,-14.51358986,40000,0.004,2650,18,18,0.072,50000000
p40000_ds0.005_rho2550_nH18_T16_Ep5e7_mu0.50,-4.864071369,-18.97449112,-15.60922241,40000,0.005,2550,18,16,0.09,50000000
p40000_ds0.006_rho2600_nH18_T16_Ep5e7_mu0.50,-4.916182518,-19.08750916,-15.58267593,40000,0.006,2600,18,16,0.108,50000000
p40000_ds0.006_rho2650_nH18_T14_Ep5e7_mu0.50,-4.890560627,-18.70832634,-14.8529911,40000,0.006,2650,18,14,0.108,50000000
p40000_ds0.003_rho2550_nH18_T16_Ep5e7_mu0.50,-4.707837582,-17.87386894,-13.67999649,40000,0.003,2550,18,16,0.054,50000000
p40000_ds0.004_rho2550_nH18_T12_Ep5e7_mu0.50,-4.830365181,-18.16147423,-13.79621601,40000,0.004,2550,18,12,0.072,50000000
p85000_ds0.006_rho2700_nH10_T12_Ep2e8_mu0.50,-4.365513325,-18.91134834,-19.0057354,85000,0.006,2700,10,12,0.06,200000000
p25000_ds0.007_rho2500_nH12_T20_Ep5e7_mu0.50,-4.726178169,-20.85024643,-21.85407448,25000,0.007,2500,12,20,0.084,50000000
p25000_ds0.006_rho2600_nH12_T12_Ep5e7_mu0.50,-4.782790661,-20.87055588,-21.4614315,25000,0.006,2600,12,12,0.072,50000000
p25000_ds0.004_rho2500_nH12_T16_Ep5e7_mu0.50,-4.819137096,-20.85271454,-21.04386902,25000,0.004,2500,12,16,0.048,50000000
p25000_ds0.004_rho2550_nH12_T18_Ep5e7_mu0.50,-4.909883022,-21.23389626,-21.40171051,25000,0.004,2550,12,18,0.048,50000000
p25000_ds0.004_rho2400_nH12_T12_Ep5e7_mu0.50,-4.802310467,-20.52885246,-20.33499527,25000,0.004,2400,12,12,0.048,50000000
p25000_ds0.004_rho2550_nH12_T16_Ep5e7_mu0.50,-4.844582081,-20.62132645,-20.22039795,25000,0.004,2550,12,16,0.048,50000000
p25000_ds0.004_rho2500_nH12_T18_Ep5e7_mu0.50,-4.878205776,-20.72005081,-20.2345562,25000,0.004,2500,12,18,0.048,50000000
p25000_ds0.003_rho2450_nH12_T14_Ep5e7_mu0.50,-4.884736061,-20.26283073,-18.8873024,25000,0.003,2450,12,14,0.036,50000000
p25000_ds0.003_rho2450_nH12_T12_Ep5e7_mu0.50,-4.800048351,-19.90399361,-18.46207237,25000,0.003,2450,12,12,0.036,50000000
p20000_ds0.006_rho2500_nH10_T10_Ep5e7_mu0.50,-4.751532555,-22.40581703,-26.16244125,20000,0.006,2500,10,10,0.06,50000000
p20000_ds0.004_rho2650_nH10_T12_Ep5e7_mu0.50,-4.965478897,-22.04738235,-23.27212906,20000,0.004,2650,10,12,0.04,50000000
p30000_ds0.005_rho2650_nH15_T18_Ep5e7_mu0.50,-4.817477226,-20.37781143,-19.86460114,30000,0.005,2650,15,18,0.075,50000000
p30000_ds0.007_rho2550_nH15_T18_Ep5e7_mu0.50,-4.833377361,-20.26727676,-19.47880173,30000,0.007,2550,15,18,0.105,50000000
p30000_ds0.006_rho2450_nH15_T16_Ep5e7_mu0.50,-4.808408737,-20.00277901,-18.99801445,30000,0.006,2450,15,16,0.09,50000000
p30000_ds0.004_rho2350_nH15_T16_Ep5e7_mu0.50,-4.812004089,-20.15867424,-19.25959396,30000,0.004,2350,15,16,0.06,50000000
p30000_ds0.006_rho2600_nH15_T12_Ep5e7_mu0.50,-4.972126484,-20.6025486,-19.41888809,30000,0.006,2600,15,12,0.09,50000000
p30000_ds0.005_rho2600_nH15_T12_Ep5e7_mu0.50,-4.89966774,-19.7941227,-17.78357697,30000,0.005,2600,15,12,0.075,50000000
p40000_ds0.004_rho2550_nH20_T14_Ep5e7_mu0.50,-4.822425842,-18.55122566,-14.88226318,40000,0.004,2550,20,14,0.08,50000000
p40000_ds0.004_rho2550_nH20_T10_Ep5e7_mu0.50,-4.925790787,-18.94565582,-15.27141285,40000,0.004,2550,20,10,0.08,50000000
p40000_ds0.005_rho2550_nH20_T18_Ep5e7_mu0.50,-4.913417816,-18.78732872,-14.77454281,40000,0.005,2550,20,18,0.1,50000000
p50000_ds0.005_rho2650_nH25_T16_Ep5e7_mu0.50,-4.729337215,-17.04309082,-11.49869442,50000,0.005,2650,25,16,0.125,50000000
p50000_ds0.006_rho2450_nH25_T16_Ep5e7_mu0.50,-4.843305588,-17.22572899,-11.09526157,50000,0.006,2450,25,16,0.15,50000000
p40000_ds0.003_rho2650_nH20_T12_Ep5e7_mu0.50,-5.003755093,-18.20698166,-12.40294743,40000,0.003,2650,20,12,0.06,50000000
p50000_ds0.006_rho2550_nH25_T10_Ep5e7_mu0.50,-4.948469162,-17.14476013,-10.25596142,50000,0.006,2550,25,10,0.15,50000000
p50000_ds0.006_rho2500_nH25_T14_Ep5e7_mu0.50,-4.794401169,-16.03981781,-8.304298401,50000,0.006,2500,25,14,0.15,50000000
p70000_ds0.008_rho2800_nH18_T20_Ep1e8_mu0.50,-4.715771675,-19.62264061,-18.50354767,70000,0.008,2800,18,20,0.144,100000000
p55000_ds0.007_rho2600_nH30_T10_Ep5e7_mu0.50,-5.076619148,-17.77211571,-10.79424095,55000,0.007,2600,30,10,0.21,50000000
p85000_ds0.006_rho2800_nH12_T20_Ep2e8_mu0.50,-4.388857365,-18.45430565,-17.59189796,85000,0.006,2800,12,20,0.072,200000000
p20000_ds0.006_rho2500_nH12_T10_Ep5e7_mu0.50,-5.016728878,-22.00241852,-23.05351639,20000,0.006,2500,12,10,0.072,50000000
p20000_ds0.004_rho2400_nH12_T12_Ep5e7_mu0.50,-5.116112709,-22.94355774,-24.64482307,20000,0.004,2400,12,12,0.048,50000000
p20000_ds0.004_rho2500_nH12_T16_Ep5e7_mu0.50,-5.053765297,-22.63492393,-24.20824051,20000,0.004,2500,12,16,0.048,50000000
p20000_ds0.004_rho2500_nH12_T18_Ep5e7_mu0.50,-4.985472679,-22.29307556,-23.73799133,20000,0.004,2500,12,18,0.048,50000000
p25000_ds0.006_rho2550_nH15_T14_Ep5e7_mu0.50,-5.074222088,-22.16934967,-22.89307785,25000,0.006,2550,15,14,0.09,50000000
p20000_ds0.004_rho2500_nH12_T14_Ep5e7_mu0.50,-5.101586342,-22.61213875,-23.68750572,20000,0.004,2500,12,14,0.048,50000000
p25000_ds0.007_rho2650_nH15_T18_Ep5e7_mu0.50,-4.978312016,-21.41609573,-21.56649208,25000,0.007,2650,15,18,0.105,50000000
p25000_ds0.005_rho2500_nH15_T18_Ep5e7_mu0.50,-4.981431961,-21.35759163,-21.38428879,25000,0.005,2500,15,18,0.075,50000000
p25000_ds0.006_rho2600_nH15_T14_Ep5e7_mu0.50,-5.091230869,-21.90689278,-22.03880882,25000,0.006,2600,15,14,0.09,50000000
p25000_ds0.005_rho2500_nH15_T20_Ep5e7_mu0.50,-5.01418066,-21.46489143,-21.2654953,25000,0.005,2500,15,20,0.075,50000000
p30000_ds0.006_rho2450_nH18_T18_Ep5e7_mu0.50,-5.043971539,-20.63955688,-18.93212891,30000,0.006,2450,18,18,0.108,50000000
p30000_ds0.005_rho2400_nH18_T18_Ep5e7_mu0.50,-5.08519125,-20.93857956,-19.38490486,30000,0.005,2400,18,18,0.09,50000000
p25000_ds0.004_rho2350_nH15_T10_Ep5e7_mu0.50,-5.06786871,-20.74386024,-18.93037224,25000,0.004,2350,15,10,0.06,50000000
p30000_ds0.005_rho2450_nH18_T16_Ep5e7_mu0.50,-5.113169193,-20.83924103,-18.89130402,30000,0.005,2450,18,16,0.09,50000000
p30000_ds0.005_rho2450_nH18_T14_Ep5e7_mu0.50,-5.047595501,-20.38260078,-18.15357399,30000,0.005,2450,18,14,0.09,50000000
p30000_ds0.006_rho2600_nH18_T14_Ep5e7_mu0.50,-5.167775631,-20.67332268,-18.00556946,30000,0.006,2600,18,14,0.108,50000000
p30000_ds0.003_rho2400_nH18_T12_Ep5e7_mu0.50,-5.081799507,-19.85456085,-16.35180092,30000,0.003,2400,18,12,0.054,50000000
p30000_ds0.006_rho2600_nH18_T10_Ep5e7_mu0.50,-5.304593563,-20.37571144,-16.38143158,30000,0.006,2600,18,10,0.108,50000000
p50000_ds0.007_rho2600_nH30_T10_Ep5e7_mu0.50,-5.267974854,-18.52096176,-11.58535957,50000,0.007,2600,30,10,0.21,50000000
p65000_ds0.007_rho2900_nH10_T12_Ep2e8_mu0.50,-4.661736488,-21.8651638,-24.97530937,65000,0.007,2900,10,12,0.07,200000000
p40000_ds0.004_rho2550_nH25_T14_Ep5e7_mu0.50,-5.088929653,-19.01529121,-14.03898811,40000,0.004,2550,25,14,0.1,50000000
p40000_ds0.003_rho2650_nH25_T12_Ep5e7_mu0.50,-4.937947273,-17.93580246,-12.31646824,40000,0.003,2650,25,12,0.075,50000000
p15000_ds0.005_rho2500_nH10_T10_Ep5e7_mu0.50,-4.985639095,-23.72624779,-27.99361992,15000,0.005,2500,10,10,0.05,50000000
p15000_ds0.004_rho2600_nH10_T18_Ep5e7_mu0.50,-5.443096638,-25.41449547,-28.82233047,15000,0.004,2600,10,18,0.04,50000000
p15000_ds0.004_rho2600_nH10_T20_Ep5e7_mu0.50,-5.264252663,-24.24201393,-26.90494728,15000,0.004,2600,10,20,0.04,50000000
p45000_ds0.008_rho2400_nH15_T14_Ep1e8_mu0.50,-5.030467987,-22.53017044,-24.11676216,45000,0.008,2400,15,14,0.12,100000000
p15000_ds0.003_rho2400_nH10_T10_Ep5e7_mu0.50,-5.298920155,-24.05239296,-26.20379448,15000,0.003,2400,10,10,0.03,50000000
p30000_ds0.009_rho2400_nH20_T16_Ep5e7_mu0.50,-5.466530323,-22.48515701,-20.67797279,30000,0.009,2400,20,16,0.18,50000000
p30000_ds0.005_rho2450_nH20_T16_Ep5e7_mu0.50,-5.265264511,-20.90094566,-17.86268234,30000,0.005,2450,20,16,0.1,50000000
p30000_ds0.006_rho2600_nH20_T14_Ep5e7_mu0.50,-5.33454895,-20.99685669,-17.59568405,30000,0.006,2600,20,14,0.12,50000000
p30000_ds0.005_rho2550_nH20_T14_Ep5e7_mu0.50,-5.429040432,-21.48763847,-18.24177551,30000,0.005,2550,20,14,0.1,50000000
p30000_ds0.003_rho2400_nH20_T12_Ep5e7_mu0.50,-5.251988411,-20.31775093,-16.31367111,30000,0.003,2400,20,12,0.06,50000000
p30000_ds0.007_rho2450_nH20_T12_Ep5e7_mu0.50,-5.503680706,-21.41431427,-17.57232857,30000,0.007,2450,20,12,0.14,50000000
p30000_ds0.006_rho2650_nH20_T12_Ep5e7_mu0.50,-5.467255592,-20.80127525,-16.23926926,30000,0.006,2650,20,12,0.12,50000000
p30000_ds0.006_rho2600_nH20_T10_Ep5e7_mu0.50,-5.518351555,-20.95790482,-16.18328667,30000,0.006,2600,20,10,0.12,50000000
p85000_ds0.007_rho2900_nH15_T18_Ep2e8_mu0.50,-4.78937149,-21.51135254,-23.01848984,85000,0.007,2900,15,18,0.105,200000000
p85000_ds0.009_rho2300_nH15_T14_Ep2e8_mu0.50,-5.085998535,-22.79974556,-24.38569069,85000,0.009,2300,15,14,0.135,200000000
p25000_ds0.003_rho2400_nH18_T16_Ep5e7_mu0.50,-5.06781435,-21.31365204,-20.44208717,25000,0.003,2400,18,16,0.054,50000000
p250000_ds0.009_rho2400_nH18_T12_Ep5e8_mu0.50,-4.964549065,-20.66301537,-19.46470833,250000,0.009,2400,18,12,0.162,500000000
p25000_ds0.005_rho2500_nH18_T20_Ep5e7_mu0.50,-5.367650986,-22.63182449,-21.85828781,25000,0.005,2500,18,20,0.09,50000000
p25000_ds0.005_rho2650_nH18_T16_Ep5e7_mu0.50,-5.396668434,-22.43730736,-21.09691048,25000,0.005,2650,18,16,0.09,50000000
p25000_ds0.004_rho2650_nH18_T12_Ep5e7_mu0.50,-5.312748909,-21.83888245,-20.14563942,25000,0.004,2650,18,12,0.072,50000000
p25000_ds0.004_rho2550_nH18_T14_Ep5e7_mu0.50,-5.207749844,-21.20814323,-19.04510307,25000,0.004,2550,18,14,0.072,50000000
p25000_ds0.006_rho2450_nH18_T10_Ep5e7_mu0.50,-5.710397243,-22.33631516,-18.59848404,25000,0.006,2450,18,10,0.108,50000000
p40000_ds0.008_rho2400_nH15_T14_Ep1e8_mu0.50,-5.159007072,-23.87991142,-26.91007805,40000,0.008,2400,15,14,0.12,100000000
p20000_ds0.007_rho2650_nH15_T18_Ep5e7_mu0.50,-5.250805855,-23.34019089,-24.85216141,20000,0.007,2650,15,18,0.105,50000000
p20000_ds0.007_rho2550_nH15_T12_Ep5e7_mu0.50,-5.451345921,-24.04598045,-25.33922768,20000,0.007,2550,15,12,0.105,50000000
p20000_ds0.005_rho2650_nH15_T16_Ep5e7_mu0.50,-5.209662437,-22.93953896,-23.97886467,20000,0.005,2650,15,16,0.075,50000000
p20000_ds0.006_rho2650_nH15_T16_Ep5e7_mu0.50,-5.437176704,-24.10419273,-25.46253395,20000,0.006,2650,15,16,0.09,50000000
p20000_ds0.004_rho2550_nH15_T14_Ep5e7_mu0.50,-5.265636921,-23.09841728,-23.88155174,20000,0.004,2550,15,14,0.06,50000000
p20000_ds0.004_rho2350_nH15_T10_Ep5e7_mu0.50,-5.390084743,-23.05783081,-22.86179543,20000,0.004,2350,15,10,0.06,50000000
p40000_ds0.003_rho2650_nH30_T12_Ep5e7_mu0.50,-5.007521152,-17.60627556,-10.9071455,40000,0.003,2650,30,12,0.09,50000000
p15000_ds0.007_rho2450_nH12_T10_Ep5e7_mu0.50,-5.382842541,-25.11805916,-29.02797508,15000,0.007,2450,12,10,0.084,50000000
p15000_ds0.007_rho2400_nH12_T16_Ep5e7_mu0.50,-5.245397568,-25.08878326,-29.64603806,15000,0.007,2400,12,16,0.084,50000000
p15000_ds0.005_rho2400_nH12_T14_Ep5e7_mu0.50,-5.403696537,-25.35867691,-29.08517265,15000,0.005,2400,12,14,0.06,50000000
p15000_ds0.007_rho2400_nH12_T18_Ep5e7_mu0.50,-5.53695488,-25.40563965,-28.2770977,15000,0.007,2400,12,18,0.084,50000000
p15000_ds0.003_rho2650_nH12_T10_Ep5e7_mu0.50,-5.337854862,-24.48885155,-27.14751816,15000,0.003,2650,12,10,0.036,50000000
p15000_ds0.003_rho2400_nH12_T10_Ep5e7_mu0.50,-5.23946619,-23.85436821,-26.08921623,15000,0.003,2400,12,10,0.036,50000000
p15000_ds0.003_rho2450_nH12_T16_Ep5e7_mu0.50,-5.487127304,-25.32508659,-28.18280792,15000,0.003,2450,12,16,0.036,50000000
p15000_ds0.003_rho2450_nH12_T14_Ep5e7_mu0.50,-5.240375042,-23.31767273,-24.59169197,15000,0.003,2450,12,14,0.036,50000000
p25000_ds0.003_rho2400_nH20_T16_Ep5e7_mu0.50,-5.290512085,-21.76621628,-20.04454422,25000,0.003,2400,20,16,0.06,50000000
p25000_ds0.009_rho2400_nH20_T16_Ep5e7_mu0.50,-5.652832031,-23.58734703,-22.31303596,25000,0.009,2400,20,16,0.18,50000000
p25000_ds0.005_rho2500_nH20_T18_Ep5e7_mu0.50,-5.5201931,-22.59138298,-20.62550926,25000,0.005,2500,20,18,0.1,50000000
