# actual run
thermo		${writestep}
thermo		1000
dump		dum all custom ${writestep} post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co
dump		dum all custom 1000 post/dump.flow id type x y z vx vy vz radius density c_stress[1] c_stress[2] c_stress[3] c_stress[4] c_stress[5] c_stress[6] c_co

# 10-15
    Step    Atoms         KinEng       comTop[2          keBed          keTop         keBase        fxxBase         fxxTop        fzzBase         fzzTop        fyyBase         fyyTop 
 1000000    12952  0.00036023435     0.06846615   0.0001973556  0.00015026102  1.2617728e-05      71.602335              0              0              0              0     -6.7816076 
 1001000    12952  0.00065431236    0.068377975  0.00015756289  0.00048416422  1.2585249e-05      63.715725              0              0              0              0      7.1366875 
 1002000    12952    0.000337879     0.06838109  0.00015049129  0.00017480131  1.2586395e-05        51.6718              0              0              0              0     -3.2086031 
 1003000    12952  0.00061438334     0.06832674  0.00018791402  0.00041390292  1.2566396e-05      43.987536              0              0              0              0      3.3196059 
 1004000    12952  0.00027309696    0.068307804  0.00013508628  0.00012545125  1.2559431e-05       36.04854              0              0              0              0     -1.5533942 
 1005000    12952  0.00046583371     0.06827004  0.00013798331  0.00031530485  1.2545548e-05      31.989031              0              0              0              0     0.64968757 
 1006000    12952  0.00020321857    0.068233604  0.00010708048  8.3605931e-05  1.2532161e-05      27.114911              0              0              0              0     0.51504473 
 1007000    12952   0.0003715628    0.068212168    0.000122678  0.00023636051  1.2524288e-05      22.865079              0              0              0              0     -1.1910277 
 1008000    12952  0.00014893879    0.068163905  8.9287794e-05  4.7144428e-05  1.2506571e-05      19.342508              0              0              0              0      2.0692918 
 1009000    12952  0.00028368446     0.06815377  0.00010653264  0.00016464897  1.2502852e-05      15.649495              0              0              0              0     -2.4211731 
 1010000    12952  0.00011159747    0.068099128  7.6063551e-05  2.3051109e-05  1.2482812e-05      12.662368              0              0              0              0      3.0100363 
 1011000    12952  0.00021784604     0.06809492  9.0273994e-05  0.00011509078  1.2481269e-05      10.004333              0              0              0              0     -3.0300004 
 1012000    12952  9.2270549e-05    0.068037174  7.1399768e-05   8.410672e-06   1.246011e-05       7.248615              0              0              0              0      3.4392261 
 1013000    12952  0.00017426278    0.068036989  8.5779325e-05   7.602341e-05  1.2460042e-05      4.9188683              0              0              0              0     -3.3686178 
 1014000    12952  8.6934515e-05     0.06797888  7.3076141e-05  1.4196074e-06  1.2438767e-05      2.7343534              0              0              0              0      3.6064778 
 1015000    12952  0.00015729781    0.067978663  9.1406697e-05  5.3452427e-05  1.2438688e-05     0.73343424              0              0              0              0       -3.51647 
 1016000    12952  8.1433935e-05     0.06792116  6.9011124e-05  5.1572402e-09  1.2417653e-05     -1.2900305              0              0              0              0       3.608857 
